model,log_loss,brier,accuracy,roc_auc,ece,ll_skill_%,bs_skill_%,acc_skill_%,reliability,resolution,uncertainty,player,train_log_loss,spatial_frac,ls_opp_win_pct,ls_time_remaining,ls_is_3pt,ls_home_away,ls_act_dunk,ls_act_layup,ls_act_hook_float
gp_context,0.6354,0.2236,0.6373,0.6676,0.019923,8.09,10.24,20.23,0.000918,0.025184,0.249097,Dwyane Wade,0.6347,0.5608563404680992,1.5739164352416992,1.5554527044296265,1.4228591918945312,1.4916777610778809,0.47035884857177734,1.232959270477295,1.616687297821045
gp_context,0.6645,0.2357,0.6164,0.5982,0.018999,2.55,3.53,7.21,0.001054,0.009856,0.244387,Kyle Lowry,0.6472,0.576474364035163,1.5679733753204346,1.548513650894165,1.1764070987701416,1.426915168762207,0.6931471824645996,1.1778124570846558,1.8000268936157227
gp_context,0.6808,0.2439,0.557,0.5776,0.036268,1.48,2.04,4.67,0.001978,0.006513,0.248967,Chris Paul,0.6624,0.5681893923071406,1.575390100479126,1.5009742975234985,1.2867820262908936,1.3616936206817627,0.6038537621498108,1.3506578207015991,1.5608489513397217
gp_context,0.6471,0.2271,0.6353,0.6652,0.030033,6.33,8.75,18.96,0.002241,0.023536,0.248842,DeMarcus Cousins,0.6068,0.5662180636916219,1.606828212738037,1.613173484802246,1.4412997961044312,1.4352827072143555,0.37579816579818726,1.0795236825942993,0.8931518197059631
gp_context,0.6615,0.2357,0.596,0.592,0.029822,4.11,5.09,10.3,0.001036,0.014159,0.248372,Marc Gasol,0.65,0.5641364768337546,1.6277079582214355,1.5628350973129272,1.3438150882720947,1.443482756614685,0.4976091682910919,1.4280166625976562,1.3887255191802979
gp_context,0.6665,0.2376,0.5921,0.6222,0.038604,3.85,4.97,17.77,0.002371,0.013738,0.249992,Nikola Vucevic,0.6458,0.5707118225497545,1.5897276401519775,1.5614920854568481,1.6580575704574585,1.6212639808654785,0.5841599106788635,1.1614069938659668,1.3644829988479614
gp_context,0.6519,0.2319,0.5969,0.628,0.034519,5.96,7.25,18.85,0.002683,0.020094,0.249995,Kawhi Leonard,0.6366,0.5814116433399892,1.5810120105743408,1.552844762802124,1.2387272119522095,1.5044991970062256,0.6893638372421265,1.2725812196731567,1.6876943111419678
gp_context,0.6393,0.2251,0.6305,0.6522,0.030081,7.15,9.12,15.11,0.001099,0.023113,0.247725,Jimmy Butler,0.617,0.5693366485366135,1.5946744680404663,1.5581492185592651,1.3855245113372803,1.485695242881775,0.3805267810821533,1.2742139101028442,1.602515697479248
gp_context,0.6883,0.2476,0.5561,0.5395,0.038484,0.06,0.06,1.68,0.002349,0.003184,0.247799,CJ McCollum,0.663,0.5884822842245274,1.6057491302490234,1.5705082416534424,1.2234269380569458,1.5001378059387207,0.5512301325798035,1.3455251455307007,1.4614453315734863
gp_context,0.6451,0.2282,0.6073,0.652,0.015755,6.93,8.69,20.07,0.001237,0.022566,0.249966,Serge Ibaka,0.6245,0.580935192855133,1.6198861598968506,1.5259695053100586,1.3321781158447266,1.566292643547058,0.5506119132041931,1.3446660041809082,1.3325096368789673
gp_context,0.6629,0.2366,0.5904,0.6058,0.046214,4.1,5.0,11.28,0.002707,0.014645,0.249069,Tobias Harris,0.6331,0.5843437989818189,1.619020938873291,1.5369125604629517,1.2763862609863281,1.6125273704528809,0.5145362615585327,1.3125030994415283,1.5458009243011475
gp_context,0.6601,0.2337,0.6181,0.6359,0.024498,4.54,6.2,16.82,0.00148,0.016213,0.249149,Goran Dragic,0.6438,0.5828475228475228,1.5395110845565796,1.5229741334915161,1.2290741205215454,1.4983289241790771,0.3454063832759857,1.2491123676300049,1.7921819686889648
gp_context,0.6459,0.2272,0.6391,0.6674,0.032764,6.81,9.11,27.14,0.001876,0.024351,0.249993,Thaddeus Young,0.6229,0.5731682428543564,1.5421861410140991,1.6012386083602905,1.5547314882278442,1.537729263305664,0.45020192861557007,1.322856068611145,1.096545696258545
