player,train_size,model,log_loss_mean,log_loss_std,brier_mean,brier_std,ece_mean,ece_std,roc_auc_mean,roc_auc_std,n_shots_mean
Stephen Curry,10,logistic_RBF,0.86296,0.09389013792726048,0.29766,0.019520578884858912,0.17807820000000002,0.034420290014757285,0.51302,0.03458571959638836,138.6
Stephen Curry,20,binned_EB,0.6978,0.003261134771824056,0.25216000000000005,0.0015339491516996179,0.044572600000000004,0.018021215422384804,0.50386,0.01594123583665956,264.0
Stephen Curry,20,gp_location,0.70598,0.010701962436861737,0.25578,0.004792911432521996,0.06744900000000001,0.026337849959706276,0.52532,0.015815720027870992,264.0
Stephen Curry,20,intercept_only,0.69358,0.0008700574693662271,0.25020000000000003,0.00042426406871193923,0.0292456,0.007048519724027168,0.5,0.0,264.0
Stephen Curry,20,logistic_RBF,0.7769199999999999,0.037525884399971135,0.27725999999999995,0.012407376837994411,0.1449662,0.03529438119162879,0.53334,0.018795557985864617,264.0
Stephen Curry,30,binned_EB,0.69828,0.005046979294588033,0.25238,0.0023983327542274127,0.036598000000000006,0.018472782234953133,0.51244,0.009973113856765026,388.4
Stephen Curry,30,gp_location,0.70146,0.0014467204291085474,0.25386000000000003,0.0007503332592921639,0.060600600000000004,0.01290713503454581,0.52082,0.009667833262939523,388.4
Stephen Curry,30,intercept_only,0.69224,0.0006655824516917628,0.24954,0.0003209361307176195,0.0116542,0.01027808166439633,0.5,0.0,388.4
Stephen Curry,30,logistic_RBF,0.75336,0.015063631700224197,0.27288,0.0047683330420598665,0.12386680000000001,0.01852106416219111,0.52302,0.00929042517864496,388.4
Stephen Curry,40,binned_EB,0.70342,0.0036030542599300264,0.25484,0.0016546903033498375,0.0547936,0.01998649669902157,0.49214,0.014838227656967655,547.2
Stephen Curry,40,gp_location,0.6963,0.0033113441379597234,0.2514,0.0014949916387726064,0.0488308,0.015171859994740263,0.5360400000000001,0.004823173229316975,547.2
Stephen Curry,40,intercept_only,0.69248,0.000664830805543811,0.24967999999999999,0.00031144823004794334,0.017261,0.008296016182481807,0.5,0.0,547.2
Stephen Curry,40,logistic_RBF,0.71574,0.006314111180522535,0.25972,0.0023036926878383765,0.11348259999999999,0.015370094186438808,0.53762,0.005782473519178422,547.2
Stephen Curry,50,binned_EB,0.70366,0.003992242477605777,0.255,0.0019065675964937557,0.0556204,0.0137021387856057,0.4845,0.011899789914111898,661.6
Stephen Curry,50,gp_location,0.69594,0.0021173096136370565,0.25114000000000003,0.0009914635646356346,0.050209199999999996,0.003068034093682796,0.53826,0.008185536023987697,661.6
Stephen Curry,50,intercept_only,0.6923,0.00042426406871191717,0.24956,0.00020736441353328016,0.014971400000000001,0.0060774174037990835,0.5,0.0,661.6
Stephen Curry,50,logistic_RBF,0.7164200000000001,0.0038661350209220698,0.2602,0.0018560711193270477,0.09114,0.014141935033792234,0.53056,0.012267966416647862,661.6
