player,train_size,draw,n_shots,model,log_loss,brier,accuracy,roc_auc,ece,ll_skill_%,bs_skill_%,acc_skill_%,reliability,resolution,uncertainty
Stephen Curry,30,3,396,binned_EB,0.6971,0.2518,0.5427,0.5036,0.039031,-0.71,-0.93,3.14,0.004796,0.002797,0.249315
Stephen Curry,30,3,396,logistic_RBF,0.7671,0.2774,0.5207,0.512,0.127546,-10.83,-11.18,-1.05,0.028906,0.003008,0.249315
Stephen Curry,30,3,396,gp_location,0.7,0.2532,0.5289,0.5297,0.052659,-1.12,-1.47,0.52,0.004555,0.000877,0.249315
Stephen Curry,30,4,395,intercept_only,0.6918,0.2493,0.5262,0.5,0.002943,-,-,-,9e-06,0.0,0.249315
Stephen Curry,30,4,395,binned_EB,0.7052,0.2557,0.5289,0.5074,0.058712,-1.93,-2.59,0.52,0.007335,0.000863,0.249315
Stephen Curry,30,4,395,logistic_RBF,0.7408,0.269,0.5069,0.5242,0.136576,-7.08,-7.89,-3.67,0.022268,0.005754,0.249315
Stephen Curry,30,4,395,gp_location,0.7027,0.2544,0.5179,0.5213,0.070991,-1.57,-2.06,-1.58,0.008251,0.002054,0.249315
Stephen Curry,40,0,537,intercept_only,0.6923,0.2496,0.5262,0.5,0.015729,-,-,-,0.000247,0.0,0.249315
Stephen Curry,40,0,537,binned_EB,0.6992,0.2529,0.5399,0.4759,0.025128,-0.99,-1.31,2.61,0.003684,0.002238,0.249315
Stephen Curry,40,0,537,logistic_RBF,0.7083,0.2568,0.5537,0.5427,0.119393,-2.31,-2.88,5.23,0.018452,0.012549,0.249315
Stephen Curry,40,0,537,gp_location,0.6957,0.2511,0.5317,0.536,0.046079,-0.5,-0.61,1.04,0.002165,0.001597,0.249315
Stephen Curry,40,1,535,intercept_only,0.6919,0.2494,0.5262,0.5,0.008409,-,-,-,7.1e-05,0.0,0.249315
Stephen Curry,40,1,535,binned_EB,0.7058,0.2559,0.5289,0.5036,0.060699,-2.01,-2.62,0.52,0.006329,0.001391,0.249315
Stephen Curry,40,1,535,logistic_RBF,0.7241,0.2628,0.5317,0.5422,0.101292,-4.66,-5.36,1.04,0.017511,0.002976,0.249315
Stephen Curry,40,1,535,gp_location,0.6961,0.2514,0.5207,0.5407,0.062064,-0.61,-0.79,-1.05,0.005768,0.00431,0.249315
Stephen Curry,40,2,543,intercept_only,0.6925,0.2497,0.5262,0.5,0.018949,-,-,-,0.000359,0.0,0.249315
Stephen Curry,40,2,543,binned_EB,0.7018,0.2541,0.5372,0.5095,0.051883,-1.34,-1.77,2.09,0.004985,0.001957,0.249315
Stephen Curry,40,2,543,logistic_RBF,0.7201,0.2611,0.5234,0.5393,0.106407,-3.99,-4.56,-0.53,0.014629,0.003165,0.249315
Stephen Curry,40,2,543,gp_location,0.7012,0.2536,0.5207,0.5306,0.064961,-1.25,-1.55,-1.05,0.005958,0.00032,0.249315
Stephen Curry,40,3,557,intercept_only,0.6936,0.2502,0.5262,0.5,0.030382,-,-,-,0.000923,0.0,0.249315
Stephen Curry,40,3,557,binned_EB,0.702,0.2542,0.5262,0.4931,0.055504,-1.21,-1.61,-0.01,0.008209,0.002402,0.249315
Stephen Curry,40,3,557,logistic_RBF,0.7123,0.2587,0.4766,0.5288,0.137798,-2.69,-3.39,-9.43,0.021217,0.01042,0.249315
Stephen Curry,40,3,557,gp_location,0.6919,0.2494,0.5262,0.541,0.043392,0.24,0.32,-0.01,0.001944,0.001535,0.249315
Stephen Curry,40,4,564,intercept_only,0.6921,0.2495,0.5262,0.5,0.012836,-,-,-,0.000165,0.0,0.249315
Stephen Curry,40,4,564,binned_EB,0.7083,0.2571,0.5372,0.4786,0.080754,-2.34,-3.06,2.09,0.010101,0.003589,0.249315
Stephen Curry,40,4,564,logistic_RBF,0.7139,0.2592,0.5234,0.5351,0.102523,-3.15,-3.87,-0.53,0.01536,0.005914,0.249315
Stephen Curry,40,4,564,gp_location,0.6966,0.2515,0.5399,0.5319,0.027658,-0.64,-0.8,2.61,0.001777,0.003072,0.249315
Stephen Curry,50,0,646,intercept_only,0.6921,0.2495,0.5262,0.5,0.012529,-,-,-,0.000157,0.0,0.249315
Stephen Curry,50,0,646,binned_EB,0.6996,0.2531,0.5455,0.4863,0.037508,-1.09,-1.46,3.66,0.005297,0.003516,0.249315
Stephen Curry,50,0,646,logistic_RBF,0.7123,0.2585,0.5317,0.5305,0.072862,-2.92,-3.61,1.04,0.011031,0.003164,0.249315
Stephen Curry,50,0,646,gp_location,0.6927,0.2497,0.5096,0.5393,0.051353,-0.09,-0.08,-3.15,0.004099,0.001325,0.249315
Stephen Curry,50,1,661,intercept_only,0.693,0.2499,0.5262,0.5,0.02451,-,-,-,0.000601,0.0,0.249315
